Toilets beside Indoor Stadium,1.2998186,103.8747111
KFC Kallang,1.3050019,103.8813764
McDonald's Kallang (Stadium),1.305296,103.8819044
Old Airport Road Food Centre,1.3082405,103.8858445
Star Mart & Toilet @ Caltex Tanjong Katong Rd,1.3075875,103.8955927
ESSO station & toilet @ EAST COAST,1.3080391,103.9077889
McDonald's Siglap,1.3125941,103.9231451
7-Eleven @ Bedok South Ave 3,1.3202846,103.9445132
Bedok Food Centre,1.3205271,103.9554844
7-Eleven,1.321592,103.9554587
Giant Supermarket - Bedok Market Place,1.3312966,103.9484324
Toilet @ Bedok Reservoir,1.3389026,103.9338331
Sheng Siong Supermarket @ Blk 739A Bedok Reservoir Rd,1.338086,103.9232933
7-Eleven @ Home Team Bedok Reservoir Park,1.341494,103.9196556
Toilet & Water Cooler @ Bedok Reservoir Car Park B,1.3473594,103.9253246
SPC store & toilet @ Tampines Ave 4,1.3486074,103.9385329
Century Square,1.3525968,103.9436741
Tampines Mall,1.352451,103.9446732
Sheng Siong Supermarket @ Tampines Central 1,1.3561104,103.9459864
7-Eleven @ Blk 446 Pasir Ris Dr 6,1.3704164,103.9574637
Kimly Coffeeshop,1.3700214,103.9575859
Loyang Point,1.3669795,103.9645538
McDonald's Pasir Ris Sports Complex,1.3740876,103.9519247
Lorong Halus Wetland Toilet,1.3955384,103.9228002
Toilet @ Punggol Point Park,1.4209998,103.9109046
Northshore Plaza II,1.4176931,103.9011355
Waterway Point,1.4064412,103.9020846
Sheng Siong Supermarket @ 301 Punggol Central,1.4037631,103.9061868
Block 622D Food Court,1.4003959,103.9103477
Giant Express,1.4005892,103.9104055
Toilet & water cooler @ Sungei Serangoon Park Connector,1.3858715,103.9070452
Heartland Mall Kovan,1.359469,103.8851289
ESSO @ KOVAN store & toilet,1.3588326,103.8839909
Caltex @ Upp Serangoon Rd store & toilet,1.3557236,103.8807183
Caltex @ Lor Chuan,1.3578486,103.8679594
ESSO LORONG CHUAN,1.3623224,103.8681326
Shell @ Serangoon Garden Way,1.3632252,103.8673474
